Title,Price,Suburb,Address,City,Bedrooms,Bathrooms,Parking,Size,URL,Agent
2 Bedroom Apartment,679999,Silverfields,"28 Felicity Court, 11 Hartford Avenue",Gauteng,2.0,,1.0,,https://www.property24.com/for-sale/silverfields/krugersdorp/gauteng/980/115956176,
Ilanga    Development in Windsor East,410000410000,,,Gauteng,,,,49 m²,https://www.property24.com/new-developments-for-sale/windsor-east/randburg/gauteng/ilanga/4522/5328,
2 Bedroom Apartment,650000,Radiokop,"1222 Amplifier Street, Pembrooke Complex",Gauteng,2.0,1.0,1.0,64 m²,https://www.property24.com/for-sale/radiokop/roodepoort/gauteng/756/116035637,
1 Bedroom Apartment,450000,Hamberg,,Gauteng,1.0,1.0,1.0,70 m²,https://www.property24.com/for-sale/hamberg/roodepoort/gauteng/693/116045173,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
1 Bedroom Apartment,320000,Windsor East,68 Duchesses Avenue,Gauteng,1.0,1.0,1.0,69 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116030202,Estate Agency profile for Rawson Properties Northcliff
1 Bedroom Apartment,375000,Horison,2 Aubrey Avenue 11 The Gables,Gauteng,1.0,1.0,1.0,34 m²,https://www.property24.com/for-sale/horison/roodepoort/gauteng/718/116018378,
3 Bedroom Apartment,650000,Ruimsig,"117 Nyu, 720 Academy Str",Gauteng,3.0,2.0,1.0,82 m²,https://www.property24.com/for-sale/ruimsig/roodepoort/gauteng/826/115981367,Estate Agency profile for Tyson Properties Gauteng
2 Bedroom Apartment,520000,Laser Park,1395 Zeiss,Gauteng,2.0,1.0,2.0,61 m²,https://www.property24.com/for-sale/laser-park/roodepoort/gauteng/12860/115993428,Estate Agency profile for Keller Williams Advance
2 Bedroom Apartment,470000,Fleurhof,30 46 Malacite Avenue,Gauteng,2.0,1.0,1.0,39 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/115922482,Estate Agency profile for RE/MAX Advantage
2 Bedroom Apartment,645000,Noordhang,"213 Ss Woodlands Gardens, 92 Bellairs Drive",Gauteng,2.0,1.0,1.0,66 m²,https://www.property24.com/for-sale/noordhang/randburg/gauteng/4278/115974283,Estate Agency profile for RE/MAX Evolve
1 Bedroom Apartment,375000,Horison,2 Aubrey Avenue 11 The Gables,Gauteng,1.0,1.0,1.0,34 m²,https://www.property24.com/for-sale/horison/roodepoort/gauteng/718/115827011,
2 Bedroom Apartment,650000,Amorosa,10 Amorosa Villas 618 Totius Road,Gauteng,2.0,1.0,1.0,69 m²,https://www.property24.com/for-sale/amorosa/roodepoort/gauteng/659/115979886,Estate Agency profile for Status Mark Property Group
2 Bedroom Apartment,650000,North Riding,4 Dexter Rd,Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/north-riding/randburg/gauteng/4455/115998204,Estate Agency profile for Hamptons Realty Group
2 Bedroom Apartment,699000,Robindale,"16 Robin Glen, 5 Maiden Street",Gauteng,2.0,1.0,1.0,85 m²,https://www.property24.com/for-sale/robindale/randburg/gauteng/4398/116030779,Estate Agency profile for Jawitz Randburg
2 Bedroom Apartment,540000,Groblerpark,"14 Ss Valushia View, 13f Rothchild Road",Gauteng,2.0,2.0,1.0,63 m²,https://www.property24.com/for-sale/groblerpark/roodepoort/gauteng/688/115978727,Estate Agency profile for RE/MAX Town and Country
1 Bedroom Apartment,450000,Willowbrook,"94 Ruimsig Palms, 1355 Cabernet Street",Gauteng,1.0,1.0,1.0,53 m²,https://www.property24.com/for-sale/willowbrook/roodepoort/gauteng/11009/115988952,Estate Agency profile for EXP South Africa
1 Bedroom Apartment,630000,Jackal Creek Golf Estate,8 Palora Road,Gauteng,1.0,2.0,2.0,,https://www.property24.com/for-sale/jackal-creek-golf-estate/randburg/gauteng/12986/116067156,
2 Bedroom Apartment,699000,Allen's Nek,"57 (door Nr 14b) Park Avenue, 889 Duiker Street",Gauteng,2.0,1.0,3.0,70 m²,https://www.property24.com/for-sale/allens-nek/roodepoort/gauteng/839/115975607,Estate Agency profile for Earth Zone Properties
Du Vin Estate    Development in Celtisdal,6010201691760,,,Gauteng,,,,,https://www.property24.com/new-developments-for-sale/celtisdal/centurion/gauteng/du-vin-estate/393/1291,
2 Bedroom Apartment,670000,Northgate,"3 Spica Cres, La Dolce Vita",Gauteng,2.0,2.0,,84 m²,https://www.property24.com/for-sale/northgate/randburg/gauteng/4457/115984040,Estate Agency profile for Rawson Properties North Riding
2 Bedroom Apartment,620000,Roodekrans,34 Zebrina Ave,Gauteng,2.0,1.0,2.0,75 m²,https://www.property24.com/for-sale/roodekrans/roodepoort/gauteng/653/115974921,
2 Bedroom Apartment,590000,Willowbrook,"1 The Campus, 152 Van Dalen Road South",Gauteng,2.0,1.0,2.0,70 m²,https://www.property24.com/for-sale/willowbrook/roodepoort/gauteng/11009/115976751,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
2 Bedroom Apartment,620000,Florida Glen,31a Gordon Road,Gauteng,2.0,1.0,1.0,64 m²,https://www.property24.com/for-sale/florida-glen/roodepoort/gauteng/1659/115989379,Estate Agency profile for Pam Golding Properties - Randburg
2 Bedroom Apartment,599000,Bromhof,"13 Ss Caymans, 332 San Marco",Gauteng,2.0,1.0,1.0,71 m²,https://www.property24.com/for-sale/bromhof/randburg/gauteng/4280/115925501,Estate Agency profile for RE/MAX Masters - Bryanston
2 Bedroom Apartment,700000,Boskruin,"19 Cayman Rock, Panther Rd",Gauteng,2.0,1.0,1.0,78 m²,https://www.property24.com/for-sale/boskruin/randburg/gauteng/4417/115985446,
2 Bedroom Apartment,590000,Wilro Park,"81 Ambience, 20 Doring Street",Gauteng,2.0,1.0,1.0,54 m²,https://www.property24.com/for-sale/wilro-park/roodepoort/gauteng/800/115820019,Estate Agency profile for Sotheby's International Realty - Roodepoort
2 Bedroom Apartment,690000,Noordhang,69 Hyperion Road,Gauteng,2.0,2.0,2.0,90 m²,https://www.property24.com/for-sale/noordhang/randburg/gauteng/4278/115978790,Estate Agency profile for Rawson Properties North Riding
2 Bedroom Apartment,590000,Wilro Park,"81 Ambience, 20 Doring Street",Gauteng,2.0,1.0,1.0,54 m²,https://www.property24.com/for-sale/wilro-park/roodepoort/gauteng/800/114311570,Estate Agency profile for Sotheby's International Realty - Roodepoort
2 Bedroom Apartment,495000,Roodepoort West,"28 Sundown Village, 35 Rubidge Avenue",Gauteng,2.0,1.0,1.0,47 m²,https://www.property24.com/for-sale/roodepoort-west/roodepoort/gauteng/783/115977184,Estate Agency profile for Paragon Homes
2 Bedroom Apartment,650000,Honeydew Grove,1373 Zeiss Road,Gauteng,2.0,1.0,2.0,87 m²,https://www.property24.com/for-sale/honeydew-grove/roodepoort/gauteng/12989/115918336,Estate Agency profile for Meridian Realty
1 Bedroom Apartment,449000,Windsor East,"3 Ss Kia Ora, 35 Dukes Avenue",Gauteng,1.0,1.0,1.0,75 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116027900,Estate Agency profile for RE/MAX Advantage
2 Bedroom Apartment,690000,The Reeds,"Atlanta Complex, 44 Mulder Street",Gauteng,2.0,1.0,2.0,79 m²,https://www.property24.com/for-sale/the-reeds/centurion/gauteng/516/115988178,Estate Agency profile for Centurion Letting & Sales
2 Bedroom Apartment,670000,Honeydew,"248 Ss Place De Tetre, 919 Zefania Road",Gauteng,2.0,2.0,1.0,76 m²,https://www.property24.com/for-sale/honeydew/roodepoort/gauteng/716/115996946,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
2 Bedroom Apartment,599000,Honeypark,"23 Sagewood, Setter Street",Gauteng,2.0,1.0,1.0,61 m²,https://www.property24.com/for-sale/honeypark/roodepoort/gauteng/14262/115959216,
2 Bedroom Apartment,599999,Noordheuwel,8 Oasis 11 Swartberg Street,Gauteng,2.0,1.0,1.0,82 m²,https://www.property24.com/for-sale/noordheuwel/krugersdorp/gauteng/940/115957366,Estate Agency profile for Pam Golding Properties - Krugersdorp
2 Bedroom Apartment,500000,Florida,2 Third Avenue,Gauteng,2.0,1.0,1.0,88 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/115958005,Estate Agency profile for Real Estate Services
3 Bedroom Apartment,590000,Florida,"6 Florlake, 2560 Kathleen Street",Gauteng,3.0,2.0,2.0,113 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/116001961,Estate Agency profile for RE/MAX Town and Country
Bluez    Development in Lyttelton Manor,659800889800,,,Gauteng,,,,,https://www.property24.com/new-developments-for-sale/lyttelton-manor/centurion/gauteng/bluez/505/4751,
2 Bedroom Apartment,650000,North Riding,"82 Ss Amber Bluff, 19 Mustang Close",Gauteng,2.0,1.0,1.0,65 m²,https://www.property24.com/for-sale/north-riding/randburg/gauteng/4455/116065823,Estate Agency profile for Harcourts 4Ways
2 Bedroom Apartment,700000,Heuweloord,,Gauteng,2.0,1.0,1.0,53 m²,https://www.property24.com/for-sale/heuweloord/centurion/gauteng/377/116062313,Estate Agency profile for Keller Williams Edge
2 Bedroom Apartment,449999,Florida,24 Fifth Avenue 1 Jeanine Court,Gauteng,2.0,1.0,1.0,87 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/116009858,
1 Bedroom Apartment,590000,President Ridge,"Ile De Paradise, 0 Cross",Gauteng,1.0,1.0,1.0,57 m²,https://www.property24.com/for-sale/president-ridge/randburg/gauteng/4399/115959614,Estate Agency profile for Just Property Heritage
2 Bedroom Apartment,420000,Fleurhof,"5 Ss Isiqalo Esisha, 3 Assegaai Street",Gauteng,2.0,1.0,1.0,39 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/115964730,Estate Agency profile for RE/MAX Town and Country
1 Bedroom Apartment,600000,Sundowner,29 Honeydew Road,Gauteng,1.0,1.0,,71 m²,https://www.property24.com/for-sale/sundowner/randburg/gauteng/4298/115992885,
2 Bedroom Apartment,660000,Roodekrans,"6 Azalea Estates, 30 Moepel Avenue",Gauteng,2.0,1.0,,61 m²,https://www.property24.com/for-sale/roodekrans/roodepoort/gauteng/653/115971182,Estate Agency profile for Century 21 Roodepoort North
2 Bedroom Apartment,650000,Die Hoewes,,Gauteng,2.0,1.0,2.0,73 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/116065198,Estate Agency profile for Fine & Country - Pretoria
1 Bedroom Apartment,545000,Boskruin,29 Panther,Gauteng,1.0,1.0,1.0,43 m²,https://www.property24.com/for-sale/boskruin/randburg/gauteng/4417/116007236,Estate Agency profile for Keller Williams Advance
1 Bedroom Apartment,650000,Jackal Creek Golf Estate,"Jackal Creek Golf Estate, 70 Shinnecock Drive",Gauteng,1.0,1.0,1.0,51 m²,https://www.property24.com/for-sale/jackal-creek-golf-estate/randburg/gauteng/12986/116034279,Estate Agency profile for RE/MAX One Waterfall
2 Bedroom Apartment,650000,Ferndale,436 Cork Avenue,Gauteng,2.0,1.0,1.0,77 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/115982241,Estate Agency profile for Etchells & Young Property Brokers
2 Bedroom Apartment,680000,Little Falls,,Gauteng,2.0,1.0,1.0,70 m²,https://www.property24.com/for-sale/little-falls/roodepoort/gauteng/736/113769121,Estate Agency profile for KwaKhona Properties
2 Bedroom Apartment,630000,Bromhof,816 Kelly Avenue,Gauteng,2.0,1.0,2.0,65 m²,https://www.property24.com/for-sale/bromhof/randburg/gauteng/4280/115971875,Estate Agency profile for Property.CoZa - Leading Edge
1 Bedroom Apartment,600000,Ferndale,"152 Brushwood, 45 West Avenue, Ferndale Ext 24",Gauteng,1.0,1.0,1.0,,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/116018633,Estate Agency profile for Linprop
3 Bedroom Apartment,680000,Horizon View,"42 Van Reenens View, 5 Webber Avenue",Gauteng,3.0,2.0,2.0,110 m²,https://www.property24.com/for-sale/horizon-view/roodepoort/gauteng/721/115982054,Estate Agency profile for Silvertree Estates
2 Bedroom Apartment,699000,Die Hoewes,,Gauteng,2.0,1.0,1.0,82 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/115920061,Estate Agency profile for RE/MAX One Waterfall
2 Bedroom Apartment,550000,Florida Lake,"18 Ss Florida Cabanas, 6 2nd Avenue",Gauteng,2.0,1.0,1.0,70 m²,https://www.property24.com/for-sale/florida-lake/roodepoort/gauteng/1577/115952314,Estate Agency profile for Jawitz Roodepoort
1 Bedroom Apartment,640000,Rooihuiskraal North,40 Aleppo Crescent,Gauteng,1.0,1.0,2.0,79 m²,https://www.property24.com/for-sale/rooihuiskraal-north/centurion/gauteng/422/115972203,Estate Agency profile for Be Prop
2 Bedroom Apartment,699000,Die Hoewes,,Gauteng,2.0,1.0,1.0,82 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/116054272,Estate Agency profile for RE/MAX One Waterfall
2 Bedroom Apartment,399000,Florida,21a Hull,Gauteng,2.0,1.0,1.0,50 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/116007415,Estate Agency profile for Keller Williams Advance
Olive Gardens    Development in Olievenhoutbosch,499000519000,,,Gauteng,,,,46 m²,https://www.property24.com/new-developments-for-sale/olievenhoutbosch/centurion/gauteng/olive-gardens/592/2895,
1 Bedroom Apartment,480000,Bergbron,"6h Schoongezicht Road, Whiteridge Ext 7, Gauteng",Gauteng,1.0,1.0,1.0,48 m²,https://www.property24.com/for-sale/bergbron/roodepoort/gauteng/1609/115968644,Estate Agency profile for Venkam Properties
2 Bedroom Apartment,400000,Florida,"323 East Lake, 18 Rose Street",Gauteng,2.0,,1.0,92 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/115946687,Estate Agency profile for RE/MAX 2000 - Florida
2 Bedroom Apartment,649000,Sonneglans,"32 Ss Vicmar Place, 24 Sandpiper Street",Gauteng,2.0,,1.0,95 m²,https://www.property24.com/for-sale/sonneglans/randburg/gauteng/4297/115891699,Estate Agency profile for RE/MAX Masters - Bryanston
2 Bedroom Apartment,660000,Ferndale,Alpha Heights Flats Main Avenue,Gauteng,2.0,1.0,1.0,92 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/114754988,
2 Bedroom Apartment,575000,Wilgeheuwel,859 Florin,Gauteng,2.0,1.0,1.0,61 m²,https://www.property24.com/for-sale/wilgeheuwel/roodepoort/gauteng/837/116050099,Estate Agency profile for Keller Williams Explore Atlantic
2 Bedroom Apartment,560000,Wilgeheuwel,1252 Sterretjie,Gauteng,2.0,1.0,1.0,61 m²,https://www.property24.com/for-sale/wilgeheuwel/roodepoort/gauteng/837/116050084,Estate Agency profile for Keller Williams Explore Atlantic
2 Bedroom Apartment,590000,Radiokop,,Gauteng,2.0,1.0,2.0,58 m²,https://www.property24.com/for-sale/radiokop/roodepoort/gauteng/756/116047412,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
1 Bedroom Apartment,400000,Windsor East,78 Queens Avenue,Gauteng,1.0,1.0,2.0,78 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/115960473,Estate Agency profile for Rawson Properties Northcliff
2 Bedroom Apartment,490000,Weltevreden Park,1 Rolbal,Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/weltevreden-park/roodepoort/gauteng/1593/116046946,Estate Agency profile for Rawson Properties Weltevredenpark
1 Bedroom Apartment,530000,Randburg Central,2a Nerina Street,Gauteng,1.0,1.0,2.0,57 m²,https://www.property24.com/for-sale/randburg-central/randburg/gauteng/17773/115939866,Estate Agency profile for Fengari Properties
Apartment,585000,Darrenwood,331 Republic Road,Gauteng,,1.0,1.0,66 m²,https://www.property24.com/for-sale/darrenwood/randburg/gauteng/4405/115940033,Estate Agency profile for Keller Williams Explore Properties
2 Bedroom Apartment,430000,Fleurhof,2 Acasia Street,Gauteng,2.0,1.0,2.0,32 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/115943466,Estate Agency profile for Rawson Properties Florida
1 Bedroom Apartment,535000,Die Hoewes,,Gauteng,1.0,1.0,1.0,50 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/116054168,Estate Agency profile for Seeff Centurion
2 Bedroom Apartment,599000,Wilgeheuwel,,Gauteng,2.0,2.0,1.0,71 m²,https://www.property24.com/for-sale/wilgeheuwel/roodepoort/gauteng/837/116047511,Estate Agency profile for Rawson Properties Wilgeheuwel
2 Bedroom Apartment,680000,Roodepoort West,Sundown Village Complex,Gauteng,2.0,1.0,2.0,50 m²,https://www.property24.com/for-sale/roodepoort-west/roodepoort/gauteng/783/116034750,Estate Agency profile for Law24
2 Bedroom Apartment,575000,Wilgeheuwel,859 Florin,Gauteng,2.0,1.0,1.0,61 m²,https://www.property24.com/for-sale/wilgeheuwel/roodepoort/gauteng/837/115861840,Estate Agency profile for Keller Williams Explore Atlantic
1 Bedroom Apartment,450000,Horizon View,,Gauteng,1.0,1.0,1.0,61 m²,https://www.property24.com/for-sale/horizon-view/roodepoort/gauteng/721/116045272,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
1 Bedroom Apartment,550000,Kosmosdal,,Gauteng,1.0,1.0,2.0,45 m²,https://www.property24.com/for-sale/kosmosdal/centurion/gauteng/10811/116044312,Estate Agency profile for Harcourts Maritz
Garden View    Development in Randburg Central,415000595000,,,Gauteng,,,,92 m²,https://www.property24.com/new-developments-for-sale/randburg-central/randburg/gauteng/garden-view/17773/5312,
2 Bedroom Apartment,560000,Florida Lake,"80 Ss Florida Cabanas, 6 2nd Avenue",Gauteng,2.0,1.0,1.0,70 m²,https://www.property24.com/for-sale/florida-lake/roodepoort/gauteng/1577/115936165,Estate Agency profile for Jawitz Roodepoort
2 Bedroom Apartment,580000,Wentworth Park,28 Wentpark Gardens 92 Level Street,Gauteng,2.0,2.0,2.0,72 m²,https://www.property24.com/for-sale/wentworth-park/krugersdorp/gauteng/996/116016137,
1 Bedroom Apartment,535000,Sonneglans,,Gauteng,1.0,1.0,1.0,47 m²,https://www.property24.com/for-sale/sonneglans/randburg/gauteng/4297/116048616,Estate Agency profile for Only Realty Excellence
1 Bedroom Apartment,660000,Helderkruin,"70 Ss Printers Loft, 1 Newart Street",Gauteng,1.0,1.0,2.0,57 m²,https://www.property24.com/for-sale/helderkruin/roodepoort/gauteng/695/115999165,Estate Agency profile for EZI Properties
2 Bedroom Apartment,390000,Discovery,,Gauteng,2.0,1.0,2.0,86 m²,https://www.property24.com/for-sale/discovery/roodepoort/gauteng/671/116042745,Estate Agency profile for Chas Everitt West Rand
2 Bedroom Apartment,630000,Honeypark,,Gauteng,2.0,2.0,2.0,65 m²,https://www.property24.com/for-sale/honeypark/roodepoort/gauteng/14262/115994313,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
2 Bedroom Apartment,610000,Die Hoewes,,Gauteng,2.0,1.0,3.0,51 m²,https://www.property24.com/for-sale/die-hoewes/centurion/gauteng/433/116041918,Estate Agency profile for Rawson Properties Centurion
2 Bedroom Apartment,550000,Princess AH,6 Sadie Road Princess Ah,Gauteng,2.0,2.0,1.0,66 m²,https://www.property24.com/for-sale/princess-ah/roodepoort/gauteng/649/112631246,Estate Agency profile for My Next Property
2 Bedroom Apartment,439000,Kenmare,20 Terenure Avenue,Gauteng,2.0,1.0,1.0,51 m²,https://www.property24.com/for-sale/kenmare/krugersdorp/gauteng/903/115961930,Estate Agency profile for Chas Everitt Randburg
1 Bedroom Apartment,515000,Ferndale,,Gauteng,1.0,1.0,1.0,36 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/116061235,Estate Agency profile for Pam Golding Properties - Randburg
2 Bedroom Apartment,439000,Fleurhof,"91 Malacite Crest, 46 Pallinghurst Road",Gauteng,2.0,1.0,1.0,39 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/115920867,Estate Agency profile for Harcourts Rhino
2 Bedroom Apartment,640000,Wentworth Park,18 Wentpark Gardens Level Street,Gauteng,2.0,,1.0,,https://www.property24.com/for-sale/wentworth-park/krugersdorp/gauteng/996/116051381,Estate Agency profile for Westrand Homes Leon
2 Bedroom Apartment,430000,Fleurhof,"31 Ss Watersedge, 67 Tonnel Avenue",Gauteng,2.0,1.0,1.0,42 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/113138660,Estate Agency profile for Property Sales Machine
2 Bedroom Apartment,550000,Florida Lake,,Gauteng,2.0,1.0,2.0,70 m²,https://www.property24.com/for-sale/florida-lake/roodepoort/gauteng/1577/116042646,Estate Agency profile for Mint Real Estate
1 Bedroom Apartment,490000,Northwold,,Gauteng,1.0,1.0,1.0,70 m²,https://www.property24.com/for-sale/northwold/randburg/gauteng/4282/116051922,Estate Agency profile for Sotheby's International Realty -  Randburg
2 Bedroom Apartment,439000,Fleurhof,"91 Malacite Crest, 46 Pallinghurst Road",Gauteng,2.0,1.0,1.0,39 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/115929748,Estate Agency profile for Harcourts Rhino
1 Bedroom Apartment,660000,Helderkruin,2 Baanbreker Avenue,Gauteng,1.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/helderkruin/roodepoort/gauteng/695/115997372,
1 Bedroom Apartment,490000,Cresta,"10 Ss Kirstenbosch, 2a Ann Street",Gauteng,1.0,1.0,1.0,48 m²,https://www.property24.com/for-sale/cresta/randburg/gauteng/4404/115989879,Estate Agency profile for RE/MAX 2000 - Florida
Kenwyn    Development in Windsor East,410000410000,,,Gauteng,,,,83 m²,https://www.property24.com/new-developments-for-sale/windsor-east/randburg/gauteng/kenwyn/4522/5303,
